"","x"
"1","oh i’m sorry i’ll be quiet about the issues and all the research that shows our mental health system…"
"2","tags amp tw 
 fanfiction
 fantasy supranatural
 naration slow burn <U+0001F525>
 implied mental health issue
 bxbboyslo…"
"3","its not a bad thing btw im failing my year bc of healthmental health issue and ended up realising that i wanted t…"
"4","creationism is weird but its not quite so obviously a mental health issue"
"5","oh i’m sorry i’ll be quiet about the issues and all the research that shows our mental health system…"
"6","did you seriously did you just pr is a difficult area and in paticular its very diff…"
"7","thank you to our canadian friends by raising awareness about mental health and they’ll always be a time to addres…"
"8","clearly there is a mental health issue going on here and she’s obviously not neurotypical so idk how i feel about p…"
"9","no this isn’t a mental health issue anymore than it’s a broken leg issuethey’re hateful and racistfull stop"
"10","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…"
"11","i believe a key issue with destigmatizing mental health is equal coverage by insurance companies mental health ca…"
"12","my parents have a bad case of ‘we had it worse than you so your feelings towards this are invalid and you’ve never…"
"13","periodt y’all don’t know how to separate affection from attraction and that shit is just sad asf i know too man…"
"14","that’s why my question was why wasn’t this prevented by keeping up with his medication…"
"15","study mental health is a bigger issue than covid itself for pr mentalhealth"
"16","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…"
"17","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…"
"18","i don’t know what group youre in i amwith no preexisting conditions i am more lik…"
"19","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…"
"20","come on this hasn’t just been an issue since covid it’s been an issue foryears under the tories who have decim…"
"21","good for them like i said your eithergenders and real science states that…"
"22","on the issue of treating schools like a magical infectionfree paradise where kids are oblivious to an unavoidable pandem…"
"23","…"
"24","…"
"25","…"
"26","…"
"27","…"
"28","a story of the very real issue of mental health in football"
"29","i think you will find that virtually everybody in the world talks themself i bet even y…"
"30","our newest issue looks at the impact of the pandemic on student wellbeing we spoke tochief execut…"
"31","thats intersex its not transgender if you dont even know the differe…"
"32","mental heathwhat about challenging each caller when they say that schools are closedschools…"
"33","of women who commit crime have experienced domestic abuse and around half of women in prison have a mental health issue…"
"34","these gun nuts are just horrific ppl i don’t have an issue with gun owne…"
"35","houselessness isn’t the fucking issue these people need comprehensive mental health and addiction recovery res…"
"36","the awareness of mentalhealth as a public policy issue has been growing and we can consider it an important opportu…"
"37","sadly children’s mental health services have always been underfunded and therefore unable to meet increasing demand how h…"
"38","dear
my sister has serious mental health issue she was completely not aware of what she is doing…"
"39","bellletstalk about how important it is to destigmatize men’s mental health and bring awareness to the issue"
"40","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…"
"41","bellletstalk about how important it is to destigmatize men’s mental health and bring awareness to the issue"
"42","on the issue of treating schools like a magical infectionfree paradise where kids are oblivious to an unavoidable…"
"43","i pray for all of my friends’ stress mental health issueamp wtv problems would come at ease in any sooner <U+0001F498> <U+0001F614>"
"44","too much complaints on odl issue brings you nowhere be the odds who focus on the solutions not the problems then…"
"45","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…"
"46","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…"
"47","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…"
"48","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…"
"49","sadly children’s mental health services have always been underfunded and therefore unable to meet increasing demand how h…"
"50","sadly children’s mental health services have always been underfunded and therefore unable to meet increasing demand…"
"51","i have same issue i have read somewhere that mental health problems are also a cause of memory issues i…"
"52","good point i’ve been thinking this myself i work with adolescents we often talk abo…"
"53","things needs to be understoodviolence against women needs to be taken more seriousmental he…"
"54","mental health is a huge issue in rural and northern canada every share and view raises money to be put into canada’s men…"
"55","the awareness of mentalhealth as a public policy issue has been growing and we can consider it an important opportu…"
"56","i wouldn’t attribute this to any mental health issue sweet

i’d be more concerned if you went to w…"
"57","i agree there’s a whole concept of recovery in mental health with a whole bunch of s…"
"58","bellletstalk about how we are not only in a global pandemic with covid but also a global mental health pandemic t…"
"59","the awareness of mentalhealth as a public policy issue has been growing and we can consider it an important opportu…"
"60","oh i’m sorry i’ll be quiet about the issues and all the research that shows our mental health system…"
"61","…"
"62","the awareness of mentalhealth as a public policy issue has been growing and we can consider it an important opportu…"
"63","the awareness of mentalhealth as a public policy issue has been growing and we can consider it an important opportu…"
"64","no it does notunless your in a very very very rare percentage where ur bo…"
"65","its a big issuemental health problems should be taken more seriously by all we need to stop t…"
"66","i’m a grown ass woman so i’ll deal with things the way that i feel is best for my mental health dealing with the…"
"67","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…"
"68","mental health is a huge issue in rural and northern canada every share and view raises money to be put into canada…"
"69","at some point we’re gonna have to start looking at this way of thinking as a public ment…"
"70","dont give me that mental health issue bsyou tried to murder your girlfriend enough with white…"
"71","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…"
"72","important contributions to the parliamentary group on drugs alcohol amp justice fromandlonelines…"
"73","<U+0001F9F5>thread

out now race mental health state violence
 
this special issue guestedited byamp …"
"74","covid is an immediate and deadlier issue than mental health that doesnt mean mental health isnt important"
"75","wow this is trash amp so poorly written it makes no sense mad insensitive to domestic abuse victims too

 domesti…"
"76","listen if you have a mental health issue i have compassion for you but being mentally ill does not excuse violent conduc…"
"77","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…"
"78","this ongoing issue since december is majorly affecting my mental health now and i literally just want to cry myself…"
"79","returning to work after a mental health issue iosh report explores employers’ role"
"80","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…"
"81","for my own mental health im gonna be winding this account down into an arch only account amp will probably stop publ…"
"82","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…"
"83","<U+0001F9F5>thread

out now race mental health state violence
 
this special issue guestedited byamp …"
"84","i’m literally mentally ill and work in disability justice mental health advocacy and have multiple f…"
"85","oh i’m sorry i’ll be quiet about the issues and all the research that shows our mental health system…"
"86","yes schools and workplaces must not allow this behavior to continue we cannot expect any person to have g…"
"87","the awareness of mentalhealth as a public policy issue has been growing and we can consider it an important opportu…"
"88","mental health now being a serious and growing issue in this climate is something that society and our system overlooks prope…"
"89","to keep at it is a mental health issue for our nation"
"90","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…"
"91","any male that wants to or even agrees to other men accessing female only spaces are per…"
"92","trumps mental health was clearly the salient issue from before the beginning of his term it wasnt subtl…"
"93","trumps mental health was clearly the salient issue from before the beginning of his term it wasnt subtl…"
"94","oh i’m sorry i’ll be quiet about the issues and all the research that shows our mental health system…"
"95","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…"
"96","study mental health is a bigger issue than covid itself for pr"
"97","besides this big issue with the stalker can affect nayeon mental health

please do something to stop this situation…"
"98","mental health now being a serious and growing issue in this climate is something that society and our system overlo…"
"99","<U+0001F9F5>thread

out now race mental health state violence
 
this special issue guestedited byamp …"
"100","the effect on emotional wellbeing and mental health has been damaging and has not been give…"
"101","when we start taking physical and mental health tips from ronnie os…"
"102","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…"
"103","oblivious normies may see this tweet heres the issue in case youre quick to rush to judgment we absolutely believe…"
"104","the awareness of mentalhealth as a public policy issue has been growing and we can consider it an important opportu…"
"105","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…"
"106","all in all im still here several attempts later im still fucking here by some miracle mental health is a serious…"
"107","this is another issue that needs to be addressed in nsw even if you have a severe mental health con…"
"108","all in all im still here several attempts later im still fucking here by some miracle mental health is a seri…"
"109","this is another issue that needs to be addressed in nsw even if you have a severe mental heal…"
"110","study mental health is a bigger issue than covid itself for pr"
"111","a chance conversation with a health professional led big issue vendor kenny to the gym for the first time in years…"
"112","mental health is a serious issue reach out to your loved ones and make sure they good"
"113","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…"
"114","i pray for all of my friends’ stress mental health issueamp wtv problems would come at ease in any sooner <U+0001F498> <U+0001F614>"
"115","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…"
"116","yes schools and workplaces must not allow this behavior to continue we cannot expect any person to hav…"
"117","mental health is such an important issue that must be addressed your mental health matters"
"118","of women who commit crime have experienced domestic abuse and around half of women in prison have a mental health issue…"
"119","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…"
"120","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…"
"121","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…"
"122","i pray for all of my friends’ stress mental health issueamp wtv problems would come at ease in any sooner <U+0001F498> <U+0001F614>"
"123","i pray for all of my friends’ stress mental health issueamp wtv problems would come at ease in any sooner <U+0001F498> <U+0001F614>"
"124","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…"
"125","oh i’m sorry i’ll be quiet about the issues and all the research that shows our mental health system…"
"126","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…"
"127","members of toyin and the gang on the show talking depression mental health is a big issue and we have to keep talking j…"
"128","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…"
"129","oh i’m sorry i’ll be quiet about the issues and all the research that shows our mental health system…"
"130","oblivious normies may see this tweet heres the issue in case youre quick to rush to judgment we absolutely believe…"
"131","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…"
"132","regardless of what questions you ask at a dinner party the issue of first responder mental health is very real

a rec…"
"133","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…"
"134","regardless of what questions you ask at a dinner party the issue of first responder mental health is very real

a rec…"
"135","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…"
"136","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…"
"137","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…"
"138","the ppl i know who have needed a lawyer to do it it’s standard to be declined on initial applicat…"
"139","i just saw an adult woman throw a nasty temper tantrum about wearing a mask that’s very strange behavior for an ad…"
"140","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…"
"141","can i assume my brother that doesnt brush his teeth at night as having mental health issue i mean…"
"142","manic episode <U+0001F602> another crime another mental health issue"
"143","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…"
"144","mental health is a huge issue now more than ever bellletstalk if you ever need someone to talk to non judgementa…"
"145","women apparently need to just run everything becausewell dudes

bennets behavior is awful amp likely due to depre…"
"146","talking about mental health needs to become normal like talking about any other health issue"
"147","…"
"148","the effect on emotional wellbeing and mental health has been damaging and has not bee…"
"149","i’ve come to realize that my high inconsistency and lack of motivation is all a mental health issue of mine that ne…"
"150","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…"
"151","oh soooo close yet againbeing evil in fact is a mental health issue that we should be sympathetic for truly vic…"
"152","i dont agree with your logic i think its disgusting that corporation that f…"
"153","listen if you have a mental health issue i have compassion for you but being mentally ill does not excuse violent conduc…"
"154","they do donate money but its a drop in the bucket and doesnt come anywhere close to…"
"155","you that same chick probably still rooting for ap and tyreek hill lol this is a domestic violence and m…"
"156","there may be a mental health issue however there were additional episode…"
